iter	Logloss
0	0.5519969209
1	0.4259590358
2	0.3439032402
3	0.2659114419
4	0.2041117944
5	0.162483459
6	0.1335837204
7	0.1156274463
8	0.09765241552
9	0.0837310239
10	0.07156188647
11	0.05998026501
12	0.05192570249
13	0.04543006487
14	0.04100432976
15	0.03634705858
16	0.03259485295
17	0.02935057652
18	0.02720124186
19	0.02514982977
20	0.02345885429
21	0.02199000433
22	0.02096018193
23	0.0201832987
24	0.01930209631
25	0.01830564721
26	0.01762757405
27	0.0170165075
28	0.0165343125
29	0.0160444971
30	0.01563424654
31	0.0152763126
32	0.01483331985
33	0.01453637686
34	0.01423604675
35	0.01396749569
36	0.01372680109
37	0.01350970119
38	0.01329177398
39	0.01318279358
40	0.01300743661
41	0.01285831164
42	0.01272496123
43	0.01259183545
44	0.01253529163
45	0.01241801966
46	0.01235443666
47	0.01229748025
48	0.01216398314
49	0.01209716042
50	0.01199621388
51	0.01193355686
52	0.01186291187
53	0.01180548359
54	0.01171293869
55	0.01160866248
56	0.01155042819
57	0.01148351383
58	0.01143022292
59	0.01134687874
60	0.01129345849
61	0.01123222112
62	0.0111523099
63	0.01109270431
64	0.01101634651
65	0.01096476343
66	0.01092534412
67	0.01091032801
68	0.01086023483
69	0.01077764882
70	0.01072656878
71	0.01066086608
72	0.01061107697
73	0.01058853096
74	0.01057644856
75	0.01052340393
76	0.01051528951
77	0.01045950213
78	0.01043807895
79	0.01038979736
80	0.0103481465
81	0.01030171017
82	0.01024769732
83	0.0102476943
84	0.01019532665
85	0.01014061002
86	0.01009766369
87	0.0100391483
88	0.01001118147
89	0.00998236006
90	0.009934958133
91	0.009916606708
92	0.009916604014
93	0.009878858975
94	0.009871752837
95	0.009836825951
96	0.009788046102
97	0.009728803854
98	0.009709569831
99	0.009682425681
100	0.00965956884
101	0.009648883481
102	0.009626797688
103	0.009594525904
104	0.009572621879
105	0.009553280247
106	0.009553277553
107	0.009544083915
108	0.00951128249
109	0.009487582677
110	0.009458674087
111	0.00942039291
112	0.009385623486
113	0.009360165425
114	0.009353961375
115	0.009345878353
116	0.009315843257
117	0.009289763148
118	0.009276846747
119	0.009250256084
120	0.009236170121
121	0.009223054571
122	0.009186125758
123	0.009156052641
124	0.009143705128
125	0.009117383958
126	0.009104492166
127	0.009104488204
128	0.009096988865
129	0.009079207999
130	0.009061677973
131	0.009048021692
132	0.00903624089
133	0.009026285196
134	0.009026285196
135	0.009000495963
136	0.008985176521
137	0.008964775102
138	0.008946037288
139	0.008926461119
140	0.008911555798
141	0.008871850924
142	0.008850694636
143	0.008843038397
144	0.008840592133
145	0.008840577711
146	0.008799990896
147	0.00878113168
148	0.008769345316
149	0.008762406696
150	0.008755699781
151	0.008755697086
152	0.008728687472
153	0.008728682083
154	0.008713181957
155	0.00869652664
156	0.008684995473
157	0.008675136631
158	0.008661634675
159	0.008653146346
160	0.008637742938
161	0.008637744523
162	0.008637744523
163	0.008601032975
164	0.008588973073
165	0.008579829803
166	0.008572359628
167	0.008564079752
168	0.008546210921
169	0.008528741041
170	0.008510118007
171	0.008503103157
172	0.008503115202
173	0.008503095866
174	0.008486626454
175	0.008473384965
176	0.00846553012
177	0.00845481069
178	0.008454801498
179	0.008443325948
180	0.008430202146
181	0.00842169437
182	0.008399945066
183	0.008389291232
184	0.008370521119
185	0.008370517315
186	0.008370509391
187	0.008370514304
188	0.008362142033
189	0.008354059306
190	0.008318224795
191	0.008304817939
192	0.008295540588
193	0.008290671789
194	0.008279452023
195	0.008245394928
